"YEAR","SAMPLE","SERIAL","CBSERIAL","NUMPREC","HHWT","CLUSTER","STATEICP","CITY","STRATA","GQ","HHINCOME","COUPLETYPE","PERNUM","PERWT","SFTYPE","SFRELATE","CBSUBFAM","CBSFTYPE","CBSFRELATE","MOMLOC","MOMRULE","POPLOC","POPRULE","SPLOC","SPRULE","RELATE","RELATED","SEX","AGE","MARST","MARRNO","MARRINYR","YRMARR","FERTYR","RACE","RACED","EDUC","EDUCD","DEGFIELD","DEGFIELDD","DEGFIELD2","DEGFIELD2D","EMPSTAT","EMPSTATD","LABFORCE","INCTOT","TRANWORK","TRANTIME","DEPARTS","ARRIVES","mom","dad","parent"
2022,202201,9402,2022000427992,1,129,2022000094021,41,4250,180201,1,71300,0,1,130,0,0,0,0,0,0,0,0,0,0,0,1,101,2,68,4,3,1,2008,0,2,200,10,101,41,4101,0,0,3,30,1,71300,0,0,0,0,0,0,0
2022,202201,1310988,2022000635751,5,280,2022013109881,49,0,460948,1,86200,1,3,262,0,0,0,0,0,2,11,1,11,0,0,3,301,1,5,6,0,0,0,0,7,700,1,12,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,1225672,2022000327593,6,70,2022012256721,54,0,190047,1,143000,1,3,65,0,0,0,0,0,2,11,1,11,0,0,3,301,2,0,6,0,0,0,0,1,100,0,1,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,312676,2022000235532,2,123,2022003126761,43,0,1110312,1,82300,1,1,124,0,0,0,0,0,0,0,0,0,2,11,1,101,2,75,1,3,1,2008,0,8,826,6,65,0,0,0,0,3,30,1,15300,0,0,0,0,0,0,0
2022,202201,487796,2022000915078,3,698,2022004877961,21,0,430517,1,60000,1,1,699,0,0,0,0,0,0,0,0,0,2,11,1,101,1,28,1,1,1,2020,0,1,100,10,101,21,2102,0,0,1,10,2,30000,60,10,802,814,0,0,0
2022,202201,960519,2022001275563,6,164,2022009605191,13,890,120536,1,78000,1,3,170,0,0,0,0,0,1,11,2,11,0,0,3,301,2,21,2,1,2,2022,1,2,200,6,65,0,0,0,0,2,20,2,10000,0,0,0,0,1,1,1
2022,202201,134171,2022000402693,4,78,2022001341711,71,0,652106,1,410000,2,4,107,2,2,1,2,2,0,0,0,0,3,11,6,601,2,72,1,1,1,1973,0,6,610,10,101,61,6108,0,0,3,30,1,0,0,0,0,0,0,0,0
2022,202201,968382,2022001417647,2,230,2022009683821,13,0,290236,1,1e+05,0,2,179,0,0,0,0,0,0,0,1,11,0,0,3,301,1,5,6,0,0,0,0,9,907,1,12,0,0,0,0,0,0,0,9999999,0,0,0,0,0,1,1
2022,202201,282798,2022001436369,1,66,2022002827981,11,0,10310,1,17900,0,1,66,0,0,0,0,0,0,0,0,0,0,0,1,101,2,81,5,1,1,1963,0,2,200,7,71,0,0,0,0,3,30,1,17900,0,0,0,0,0,0,0
2022,202201,931802,2022000752867,5,73,2022009318021,13,4610,440936,1,110700,1,1,74,0,0,0,0,0,0,0,0,0,2,11,1,101,1,54,1,1,1,1993,0,6,610,6,61,0,0,0,0,1,10,2,40000,10,45,15,49,0,0,0
2022,202201,471012,2022000446984,2,20,2022004710121,21,0,1990017,1,45600,0,2,13,0,0,0,0,0,0,0,0,0,0,0,7,701,1,31,6,0,0,0,0,1,100,6,65,0,0,0,0,1,10,2,9600,10,20,1435,1454,0,0,0
2022,202201,505000,2022001397248,2,61,2022005050001,21,0,430417,1,51400,1,1,60,0,0,0,0,0,0,0,0,0,2,11,1,101,2,80,1,1,1,1968,0,4,400,5,50,0,0,0,0,3,30,1,21400,0,0,0,0,0,0,0
2022,202201,718281,2022001212855,2,21,2022007182811,23,0,250026,1,103200,1,1,22,0,0,0,0,0,0,0,0,0,2,11,1,101,1,76,1,1,1,1965,0,1,100,11,114,23,2309,0,0,3,30,1,93200,0,0,0,0,0,0,0
2022,202201,226597,2022001370562,3,105,2022002265971,71,0,530106,1,146000,3,1,106,0,0,0,0,0,0,0,0,0,2,21,1,101,1,35,4,1,1,2019,0,6,640,10,101,62,6201,0,0,1,10,2,75000,10,60,1435,1534,0,0,0
2022,202201,494585,2022001104798,4,82,2022004945851,21,0,1990017,1,126000,1,1,83,0,0,0,0,0,0,0,0,0,2,11,1,101,2,47,1,1,1,2001,1,1,100,10,101,23,2304,23,2310,1,10,2,58000,10,10,717,729,0,0,0
2022,202201,658020,2022000425908,3,211,2022006580201,3,3810,70525,1,90000,1,3,188,0,0,0,0,0,2,11,1,11,0,0,3,301,1,6,6,0,0,0,0,7,700,1,11,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,1268372,2022000075556,5,108,2022012683721,49,0,231548,1,45100,0,5,92,0,0,0,0,0,0,0,0,0,0,0,4,401,1,23,2,1,1,2019,0,1,100,5,50,0,0,0,0,1,10,2,25000,10,15,717,734,0,0,0
2022,202201,498953,2022001227984,3,86,2022004989531,21,0,2010117,1,55000,1,2,82,0,0,0,0,0,0,0,0,0,1,11,2,201,1,50,1,2,1,1993,0,1,100,10,101,50,5004,0,0,1,10,2,55000,10,10,1805,1814,0,0,0
2022,202201,902373,2022000210055,1,222,2022009023731,13,4610,411136,1,23000,0,1,222,0,0,0,0,0,0,0,0,0,0,0,1,101,1,39,6,0,0,0,0,4,410,6,61,0,0,0,0,1,10,2,23000,36,30,732,804,0,0,0
2022,202201,652382,2022000138440,1,69,2022006523821,3,5710,90325,1,30000,0,1,70,0,0,0,0,0,0,0,0,0,0,0,1,101,1,64,6,0,0,0,0,1,100,11,116,36,3601,0,0,3,30,1,30000,0,0,0,0,0,0,0
2022,202201,1397953,2022000142666,2,94,2022013979531,40,0,590451,1,181600,1,1,93,0,0,0,0,0,0,0,0,0,2,11,1,101,2,73,1,1,1,1975,0,1,100,10,101,37,3700,0,0,3,30,1,88200,0,0,0,0,0,0,0
2022,202201,75906,2022010010247,1,32,2022000759061,71,0,790106,4,9999999,0,1,32,0,0,0,0,0,0,0,0,0,0,0,12,1270,1,20,6,0,0,0,0,1,100,7,71,0,0,0,0,3,30,1,3000,0,0,0,0,0,0,0
2022,202201,642920,2022001355763,4,51,2022006429201,52,0,100824,1,365000,1,4,60,0,0,0,0,0,1,11,2,11,0,0,3,301,1,10,6,0,0,0,0,1,100,1,17,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,1426676,2022001335111,1,74,2022014266761,40,0,7400151,1,17000,0,1,75,0,0,0,0,0,0,0,0,0,0,0,1,101,2,24,2,1,1,2021,1,1,100,10,101,36,3600,40,4007,1,10,2,17000,10,25,722,749,0,0,0
2022,202201,328318,2022000490303,6,162,2022003283181,43,0,950612,1,7000,1,2,164,0,0,0,0,0,0,0,0,0,1,11,2,201,1,46,1,1,1,2017,0,2,200,6,64,0,0,0,0,2,20,2,0,0,0,0,0,0,0,0
2022,202201,771487,2022000131202,2,38,2022007714871,34,0,230029,1,103300,1,1,38,0,0,0,0,0,0,0,0,0,2,11,1,101,2,71,1,1,1,1981,0,1,100,7,71,0,0,0,0,1,10,2,20530,10,8,1045,1054,0,0,0
2022,202201,88590,2022010120093,1,17,2022000885901,71,0,710506,4,9999999,0,1,17,0,0,0,0,0,0,0,0,0,0,0,12,1270,1,19,6,0,0,0,0,1,100,7,71,0,0,0,0,3,30,1,0,0,0,0,0,0,0,0
2022,202201,179496,2022000877933,2,233,2022001794961,71,0,591206,1,16400,1,2,232,0,0,0,0,0,0,0,0,0,1,11,2,201,2,65,1,1,1,1997,0,6,640,6,63,0,0,0,0,3,30,1,8200,0,0,0,0,0,0,0
2022,202201,273250,2022000934379,5,495,2022002732501,1,0,2070309,1,138300,1,3,271,0,0,0,0,0,1,11,2,11,0,0,3,301,1,16,6,0,0,0,0,2,200,5,50,0,0,0,0,3,30,1,300,0,0,0,0,1,1,1
2022,202201,648408,2022010140967,1,47,2022006484081,3,810,80425,4,9999999,0,1,47,0,0,0,0,0,0,0,0,0,0,0,12,1270,2,62,6,0,0,0,0,2,200,4,40,0,0,0,0,3,30,1,11000,0,0,0,0,0,0,0
2022,202201,1047545,2022000473462,2,101,2022010475451,24,0,40139,1,140000,1,1,101,0,0,0,0,0,0,0,0,0,2,11,1,101,2,50,1,1,1,2000,1,1,100,11,114,23,2300,0,0,1,10,2,72000,10,5,702,709,0,0,0
2022,202201,950176,2022001087520,2,63,2022009501761,13,890,120636,1,43000,1,1,63,0,0,0,0,0,0,0,0,0,2,11,1,101,1,77,1,2,1,2005,0,1,100,11,116,23,2301,0,0,1,10,2,34600,10,10,932,944,0,0,0
2022,202201,1295333,2022000430874,3,35,2022012953331,49,0,231348,1,121400,0,2,47,0,0,0,0,0,3,11,0,0,0,0,7,701,1,41,6,0,0,0,0,9,907,10,101,53,5301,0,0,1,10,2,50000,10,7,2155,2159,1,0,1
2022,202201,20768,2022001206702,1,21,2022000207681,41,0,240001,1,15400,0,1,21,0,0,0,0,0,0,0,0,0,0,0,1,101,1,57,5,2,1,2012,0,1,100,6,64,0,0,0,0,3,30,1,15400,0,0,0,0,0,0,0
2022,202201,967817,2022001407856,1,63,2022009678171,13,0,280436,1,48250,0,1,63,0,0,0,0,0,0,0,0,0,0,0,1,101,2,73,4,1,1,1970,0,1,100,8,81,0,0,0,0,3,30,1,48250,0,0,0,0,0,0,0
2022,202201,540567,2022000011849,1,67,2022005405671,31,0,210019,1,63000,0,1,68,0,0,0,0,0,0,0,0,0,0,0,1,101,1,44,6,0,0,0,0,1,100,7,71,0,0,0,0,1,10,2,63000,10,2,902,904,0,0,0
2022,202201,417582,2022000833804,6,48,2022004175821,44,0,60213,1,109900,1,5,55,3,3,1,3,3,0,0,3,24,0,0,9,901,2,17,6,0,0,0,1,1,100,5,50,0,0,0,0,1,10,2,4000,10,15,1615,1634,0,1,1
2022,202201,238695,2022000119698,2,77,2022002386951,62,0,190008,1,52000,3,1,77,0,0,0,0,0,0,0,0,0,2,21,1,101,1,44,4,2,1,2003,0,8,802,6,61,0,0,0,0,1,10,2,32000,10,5,747,754,0,0,0
2022,202201,204321,2022001136493,1,87,2022002043211,71,0,410306,1,52850,0,1,88,0,0,0,0,0,0,0,0,0,0,0,1,101,2,74,4,1,1,1981,0,1,100,10,101,23,2300,0,0,3,30,1,52850,0,0,0,0,0,0,0
2022,202201,59023,2022001393712,3,58,2022000590231,61,0,10204,1,65000,1,1,58,0,0,0,0,0,0,0,0,0,2,11,1,101,1,37,1,1,1,2017,0,1,100,11,114,23,2309,0,0,1,10,2,65000,10,40,647,729,0,0,0
2022,202201,1057370,2022000760609,1,204,2022010573701,24,0,370139,1,59300,0,1,203,0,0,0,0,0,0,0,0,0,0,0,1,101,2,68,4,1,1,1972,0,1,100,6,63,0,0,0,0,1,10,2,59300,10,15,732,749,0,0,0
2022,202201,439592,2022000929233,4,53,2022004395921,82,0,10015,1,21300,1,1,53,0,0,0,0,0,0,0,0,0,2,11,1,101,2,41,1,1,1,2014,1,1,100,10,101,60,6004,0,0,3,30,1,12900,0,0,0,0,0,0,0
2022,202201,1041642,2022000307229,6,109,2022010416421,24,0,70539,1,103080,1,4,121,0,0,0,0,0,2,11,1,11,0,0,3,301,1,14,6,0,0,0,0,1,100,2,26,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,107884,2022000126139,2,190,2022001078841,71,0,731606,1,30000,0,2,224,0,0,0,0,0,0,0,1,11,0,0,3,301,1,16,6,0,0,0,0,7,700,3,30,0,0,0,0,3,30,1,0,0,0,0,0,0,1,1
2022,202201,525966,2022000811060,5,48,2022005259661,22,0,270018,1,406000,1,1,48,0,0,0,0,0,0,0,0,0,2,11,1,101,1,35,1,1,1,2018,0,1,100,6,65,0,0,0,0,1,10,2,60000,10,10,632,644,0,0,0
2022,202201,972151,2022010058036,1,62,2022009721511,47,0,430037,3,9999999,0,1,62,0,0,0,0,0,0,0,0,0,0,0,13,1301,1,47,6,0,0,0,0,2,200,6,64,0,0,0,0,3,30,1,0,0,0,0,0,0,0,0
2022,202201,147226,2022000541769,4,56,2022001472261,71,0,378106,1,327400,1,4,66,0,0,0,0,0,2,11,1,11,0,0,3,301,1,25,6,0,0,0,0,3,360,6,65,0,0,0,0,3,30,1,27900,0,0,0,0,1,1,1
2022,202201,338298,2022000649943,2,54,2022003382981,43,0,860312,1,22000,0,2,75,0,0,0,0,0,1,11,0,0,0,0,3,301,1,24,6,0,0,0,0,2,200,6,63,0,0,0,0,3,30,1,5000,0,0,0,0,1,0,1
2022,202201,259699,2022001367255,5,53,2022002596991,62,0,100308,1,187900,1,2,53,0,0,0,0,0,0,0,0,0,1,11,2,201,1,39,1,2,1,2011,0,1,100,7,71,0,0,0,0,1,10,2,102900,10,40,1135,1214,0,0,0
2022,202201,1451464,2022000820680,2,65,2022014514641,73,0,2770153,1,37400,1,1,65,0,0,0,0,0,0,0,0,0,2,11,1,101,1,78,1,2,1,1982,0,1,100,6,63,0,0,0,0,3,30,1,28500,0,0,0,0,0,0,0
2022,202201,347244,2022000798922,5,50,2022003472441,43,0,991112,1,173000,1,3,50,0,0,0,0,0,1,11,2,11,0,0,3,301,1,17,6,0,0,0,0,1,100,5,50,0,0,0,0,3,30,1,0,0,0,0,0,1,1,1
2022,202201,345593,2022000771467,3,67,2022003455931,43,0,190112,1,114100,1,2,35,0,0,0,0,0,0,0,0,0,1,11,2,201,2,59,1,2,1,1990,0,8,826,6,63,0,0,0,0,1,10,2,81000,70,15,1235,1249,0,0,0
2022,202201,906620,2022000287530,4,102,2022009066201,13,4610,450136,1,1e+05,1,1,102,0,0,0,0,0,0,0,0,0,2,11,1,101,1,47,1,1,1,2002,0,6,610,6,63,0,0,0,0,1,10,2,65000,10,15,602,619,0,0,0
2022,202201,50518,2022000967082,4,175,2022000505181,61,0,12904,1,149000,1,4,240,0,0,0,0,0,2,11,1,11,0,0,3,301,1,3,6,0,0,0,0,1,100,0,2,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,1383599,2022001138555,5,594,2022013835991,67,6210,3501249,1,511000,1,3,455,0,0,0,0,0,1,11,2,11,0,0,3,301,2,10,6,0,0,0,0,1,100,1,17,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,382731,2022001374828,2,125,2022003827311,43,0,350012,1,135000,1,1,125,0,0,0,0,0,0,0,0,0,2,11,1,101,1,43,1,3,1,2013,0,1,100,8,81,0,0,0,0,1,10,2,50000,10,15,502,519,0,0,0
